id,MusicAccess,MusicAccessNo,Age,Gender,Ethnicity,Nationality,Sample,MARS1_1,MARS2_1,MARS3_1,MARS4_1,MARS5_1,MARS6_1,MARS7_1,MARS8_1,MARS9_1,MARS10_1,MARS11_1,MARS12_1,MARS13_1,MARS14_1,MARS15_1,POMSDSF1_1,POMSDSF2_1,POMSDSF3_1,POMSDSF4_1,POMSDSF5_1,POMSDSF6_1,POMSDSF7_1,POMSDSF8_1,Sadness_MIP,MIP_timing_3,POMSDSF1_2,POMSDSF2_2,POMSDSF3_2,POMSDSF4_2,POMSDSF5_2,POMSDSF6_2,POMSDSF7_2,POMSDSF8_2,Condition,Cond_Control,Control_timing_3,Cond_Chet,Chet_timing_3,Cond_SelfSelected,Cond_SS_Instructions,Cond_SS_Timer_3,SelfSelected_Song1,SelfSelected_Song2,POMSDSF1_3,POMSDSF2_3,POMSDSF3_3,POMSDSF4_3,POMSDSF5_3,POMSDSF6_3,POMSDSF7_3,POMSDSF8_3,MusicInfo4_1,RRQ1_1,RRQ2_1,RRQ3_1,RRQ4_1,RRQ5_1,RRQ6_1,RRQ7_1,RRQ8_1,RRQ9_1,RRQ10_1,RRQ11_1,RRQ12_1
137,1, ,18,0,1,Australian,1,7,6,2,2,2,7,6,5,6,1,6,6,2,4,6,0,0,0,1,1,0,2,0,1,326.214,0,3,1,2,1,0,2,0,3, , , , ,3,1,285.007,The Fault in our Stars - Troye Sivan,Someday soon - the trouble with templeton,0,2,1,0,0,0,1,0,5,4,4,4,3,5,3,4,4,2,1,5,4
138,1, ,19,1,2,Singaporean,1,4,5,4,1,2,5,5,4,3,1,4,6,6,1,3,0,0,0,0,0,0,0,0,1,326.615,0,2,1,0,0,1,0,0,3, , , , ,3,1,285.373,Ain't Your Mama - Jennifer Lopez, ,0,0,0,0,0,0,0,0,1,4,5,4,5,5,2,4,5,2,2,4,3
139,1, ,18,1,1,Australian,1,6,5,3,2,3,5,6,5,5,3,4,4,3,4,4,0,0,0,0,0,0,0,0,1,327.973,1,2,2,1,1,1,2,1,3, , , , ,3,1,285.018,Where You're At - Allen Stone, ,1,2,2,1,1,1,1,0,3,4,5,5,4,4,2,4,4,2,1,3,5
140,1, ,20,1,2,Malaysian,1,5,4,1,4,3,6,5,7,5,1,4,7,2,7,7,1,1,1,0,0,0,0,0,1,328.053,3,3,3,0,1,1,0,0,3, , , , ,3,1,285.021,2am - Anna Nalick,Chasing Cars - Snow patrol,1,1,1,1,0,0,0,0,4,3,3,3,4,2,3,3,3,3,1,1,3
141,1, ,22,1,1,Australian,2,6,6,4,2,2,5,6,5,5,1,4,6,2,3,4,2,2,2,1,2,1,1,2,1,328.381,3,4,3,3,2,4,2,2,3, , , , ,3,1,284.992,"Me at the Museum, and You in the Wintergarden - Tiny Ruins",Straw Into Gold - Tiny Ruins,2,3,3,1,1,1,1,1,4,5,4,5,5,4,2,4,4,2,2,4,4
142,1, ,18,1,2,vietnamese,1,7,7,1,6,7,7,7,7,7,1,7,7,1,7,7,0,0,0,0,0,0,0,0,1,330.499,0,0,0,0,0,0,0,0,3, , , , ,3,1,285.018,I love you-Little Mix,Bed Rock-Young Money,0,0,0,0,0,0,0,0,1,1,1,1,5,5,1,3,3,3,5,3,5
143,1, ,18,0,5,Greek,1,5,5,3,2,3,5,6,6,6,2,4,5,3,2,5,0,0,0,0,0,0,0,0,1,335.311,3,3,3,3,3,3,3,2,3, , , , ,3,1,285.019,Chasing Cars - Snow Patrol, ,1,1,1,1,1,1,1,1,4,2,4,4,4,4,4,4,4,2,3,3,3
144,1, ,20,0,1,Australian,2,5,4,2,4,4,5,6,3,7,1,2,5,2,4,5,2,2,2,3,3,1,2,3,1,335.714,2,3,2,2,2,1,1,1,3, , , , ,3,1,285.051,Breathing in Stereo - Modern Baseball,What if - Modern Baseball,2,2,1,1,3,2,2,2,3,4,4,5,5,5,1,4,4,1,1,4,5
145,1, ,19,1,1,French,1,5,5,2,1,3,6,6,5,6,2,5,5,4,3,5,0,1,1,0,0,0,0,0,1,335.869,2,1,1,0,0,0,0,0,3, , , , ,3,1,284.992,En Cavale - Pomme, ,2,2,2,0,1,0,0,0,4,2,4,3,4,3,2,4,3,4,2,4,2
147,1, ,21,0,1,Australian,1,3,4,2,2,4,5,4,4,5,3,2,4,4,1,4,0,1,0,0,0,1,0,0,1,340.509,0,1,0,0,0,1,0,0,3, , , , ,3,1,285.021,O Fortuna - Seiji Ozawa,Fortune Plango Vulnera - Seiji Ozawa,0,1,0,0,0,1,0,0,3,2,4,4,4,4,3,2,2,3,3,2,3
148,1, ,20,0,2,Hong Kong,1,7,7,3,5,5,7,7,6,7,2,7,6,2,5,7,0,0,0,0,0,0,0,0,1,347.359,3,4,3,2,1,3,4,1,3, , , , ,3,1,285.71,Madness - Muse, ,1,1,1,0,0,1,0,0,3,2,4,5,4,2,2,5,4,3,5,4,2
149,1, ,19,1,1,Australian,2,7,7,3,5,3,6,5,5,6,2,5,5,3,4,5,0,0,0,0,0,0,0,0,1,348.85,1,1,1,0,1,1,1,0,3, , , , ,3,1,285.015,Black Dress - Kisschasy, ,1,1,2,0,0,0,0,0,5,4,5,4,5,4,2,4,4,2,4,4,4
150,1, ,20,0,1,Australian,1,6,5,3,2,4,4,4,5,5,3,5,5,2,1,5,3,2,2,2,1,1,1,1,1,352.472,1,1,2,0,0,1,0,1,3, , , , ,3,1,285.023,Holy Roller - Thao,Eventually - Tame Impala,1,0,1,0,1,0,0,1,3,4,2,4,4,4,2,4,4,2,1,3,4
151,1, ,20,1,1,Australian,2,5,6,3,2,2,6,7,6,6,2,6,7,3,4,5,1,0,0,1,1,1,0,0,1,426.714,1,1,1,1,1,0,1,1,3, , , , ,3,1,283,Holocene - Bon Iver, ,0,1,0,0,0,0,0,1,3,4,4,4,4,4,2,4,5,2,4,4,4
